Original Name,Wiki Name,Summary
Adhara,Adhara,"Epsilon Canis Majoris (ε CMa, ε Canis Majoris) is the second brightest star in the constellation Canis Major, and one of the brightest stars in the night sky. It has the Bayer designation ""epsilon"" despite being the second brightest and not the fifth brightest star in its constellation. It has the traditional name Adhara (sometimes spelled Adara). The name is from the Arabic word عذارى ‘aðāra’, ""virgins"". It was once the brightest star in the sky, with an apparent magnitude of -3.99.
In Chinese, 弧矢 (Hú Shǐ), meaning Bow and Arrow, refers to an asterism consisting of ε Canis Majoris, δ Canis Majoris, η Canis Majoris, HD 63032, HD 65456, ο Puppis, k Puppis, κ Canis Majoris and π Puppis. Consequently, ε Canis Majoris itself is known as 弧矢七 (Hú Shǐ qī, English: the Seventh Star of Bow and Arrow.)
In the 17th century catalogue of stars in the Calendarium of Al Achsasi al Mouakket, this star was designated Aoul al Adzari (أول ألعذاري - awwil al-aðārii), which was translated into Latin as Prima Virginum, meaning First of the Virgins. Along with δ CMa (Wezen), η CMa (Aludra) and ο2 CMa (Thanih al Adzari), these stars were Al ʽAdhārā (ألعذاري), the Virgins."
Wezen,Wezen,"Delta Canis Majoris (δ CMa, δ Canis Majoris) is a star in the constellation Canis Major. It has the traditional name Wezen, Wesen, or Wezea. It is a yellow-white F-type supergiant with an apparent magnitude of +1.83. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified."
Aludra,Aludra,"Eta Canis Majoris (η CMa, η Canis Majoris) is a star in the constellation Canis Major. It has the traditional name Aludra. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified.
The name Aludra originates from the Arabic: عذرا al-‘aðrā ""the virgin"". This star, along with ε CMa (Adhara), δ CMa (Wezen) and ο2 CMa (Thanih al Adzari), were Al ʽAdhārā (ألعذاري), the Virgins.
In Chinese, 弧矢 (Hú Shǐ), meaning Bow and Arrow, refers to an asterism consisting of η Canis Majoris, δ Canis Majoris, HD 63032, HD 65456, ο Puppis, k Puppis, ε Canis Majoris, κ Canis Majoris and π Puppis. Consequently, η Canis Majoris itself is known as 弧矢二 (Hú Shǐ èr, English: the Second Star of Bow and Arrow.)"
Gomeisa,Gomeisa,"Beta Canis Minoris (β CMi, β Canis Minoris) is a star in the constellation of Canis Minor. In the night sky it is notable for its proximity to the prominent star Procyon. It has the traditional name Gomeisa, which comes from the Arabic al-ghumaisa’ ""the bleary-eyed (woman)"", short for مرزم الغميصاء mirzam al-ghumaisa’ ""girdle of the bleary-eyed one"". In Arabic, the short form would be identical with the name of Procyon.
In Chinese, 南河 (Nán Hé), meaning South River, refers to an asterism consisting of β Canis Minoris, Procyon and ε Canis Minoris. Consequently, β Canis Minoris itself is known as 南河二 (Nán Hé èr, English: the Second Star of South River.)"
Procyon,Procyon,"Canis Minor /ˌkeɪnᵻs ˈmaɪnər/ is a small constellation in the northern celestial hemisphere. In the second century, it was included as an asterism, or pattern, of two stars in Ptolemy's 48 constellations, and it is counted among the 88 modern constellations. Its name is Latin for ""lesser dog"", in contrast to Canis Major, the ""greater dog""; both figures are commonly represented as following the constellation of Orion the hunter.
Canis Minor contains only two stars brighter than the fourth magnitude, Procyon (Alpha Canis Minoris), with a magnitude of 0.34, and Gomeisa (Beta Canis Minoris), with a magnitude of 2.9. The constellation's dimmer stars were noted by Johann Bayer, who named eight stars including Alpha and Beta, and John Flamsteed, who numbered fourteen. Procyon is the seventh-brightest star in the night sky, as well as one of the closest. A yellow-white main sequence star, it has a white dwarf companion. Gomeisa is a blue-white main sequence star. Luyten's Star is a ninth-magnitude red dwarf and the Solar System's next closest stellar neighbour in the constellation after Procyon. The fourth-magnitude HD 66141, which has evolved into an orange giant towards the end of its life cycle, was discovered to have a planet in 2012. There are two faint deep sky objects within the constellation's borders. The 11 Canis-Minorids are a meteor shower that can be seen in early December."
Pollux,Pollux,"USNS Pollux (T-AK-290), later T-AKR-290, the fourth United States Navy ship of the name, is an Algol-class vehicle cargo ship that is currently maintained by the United States Maritime Administration as part of the Ready Reserve Force (RRF) as SS Pollux (T-AKR-290).
In keeping with the pattern of the naming the Algol-class ships after bright stars, the Pollux was named after Pollux, a star in the northern constellation of Gemini.

"
Naos,Naos,"USS Naos (AK-105) was laid down as SS William R. Nelson under Maritime Commission contract by California Shipbuilding Corp., Los Angeles, California, 8 June 1943, named after Naos, the star in constellation Puppis. Naos was launched 30 June 1943 and sponsored by Miss Barbara Quarg. The ship was delivered to the Navy under bareboat charter 15 July 1943, converted for Navy use by Los Angeles Shipbuilding and Dry Dock Company, San Pedro, California, and commissioned at San Pedro 17 August 1943,as a Crater-class cargo ship with Lieutenant Commander N. E. Wilcox in command."
Miaplacidus,Miaplacidus,"Beta Carinae (β Car, β Carinae) is the second brightest star in the constellation Carina and one of the brightest stars in the night sky, with apparent magnitude 1.68. It is the brightest star in the south polar asterism known as the Diamond Cross, marking the southwestern end of the asterism. Beta Carinae also has the traditional name Miaplacidus, meaning ""placid waters"". It lies near the planetary nebula IC 2448. Parallax measurements place it at a distance of 113.2 light-years (34.7 parsecs) from Earth.
Beta Carinae's traditional name Miaplacidus made its debut on star maps in 1856 when the star atlas Geography of the Heavens, composed by Elijah Hinsdale Burritt, was published. The meaning and linguistic origin of the name remained an enigma for many decades, until William Higgins, a great scholar and expert on star names, surmised that the name Miaplacidus is apparently a bilingual combination of Arabic مياه miyāh for ""waters"" and Latin placidus for ""placid"".
In Chinese, 南船 (Nán Chuán), meaning Southern Boat, refers to an asterism consisting of β Carinae, V337 Carinae, PP Carinae, θ Carinae and ω Carinae . Consequently, β Carinae itself is known as 南船五 (Nán Chuán wǔ, English: the Fifth Star of Southern Boat.)
The stellar classification of A1 III– suggests this is an evolved giant star, although Malagnini and Morossi (1990) rated it as an A2 IV subgiant star. It has an estimated age of 260 million years. This star does not show an excess emission of infrared radiation that might otherwise suggest the presence of a debris disk. It has about 3.5 times the Sun's mass and has expanded to almost seven times the radius of the Sun. Presently is it radiating 288 times as much luminosity as the Sun from its outer envelope at an effective temperature of 8,866 K. Despite its enlarged girth, this star still shows a rapid rotation rate, with a projected rotational velocity of 146 km s−1."
Alphard,Alphard,"Alphard (α Hya, α Hydrae, Alpha Hydrae) is the brightest star in the constellation Hydra. The name Alphard is from the Arabic الفرد (al-fard), ""the solitary one"", there being no other bright stars near it. It was also known as the ""backbone of the Serpent"" to the Arabs. In ancient China it formed part of an asterism called the ""red bird"". The European astronomer Tycho Brahe dubbed it Cor Hydræ, the heart of the snake.
In the catalogue of stars in the Calendarium of Al Achsasi Al Mouakket, it was designated Soheil al Fard, which was translated into Latin as Soheil Solitarius, meaning the bright solitary one.
In Chinese, 星宿 (Xīng Xiù), meaning Star, refers to an asterism consisting of Alphard, τ1 Hydrae, τ2 Hydrae, ι Hydrae, 26 Hydrae, 27 Hydrae, HD 82477 and HD 82428. Consequently, Alphard itself is known as 星宿一 (Xīng Xiù yī), ""the First Star of Star""."
Ras Elased Australis,Ras Elased Australis,"Epsilon Leonis (ε Leo, ε Leonis) is the fifth brightest star in the constellation Leo, consistent with its Bayer designation Epsilon. The star has the traditional names Ras Elased (Australis), Asad Australis and Algenubi, all of which derive from the Arabic رأس الأسد الجنوبي rās al-’asad al-janūbī, which means ""the southern (star) of the lion's head""; australis is Latin for ""southern""."
Regulus,Regulus,"Regulus (α Leo, α Leonis, Alpha Leonis) is the brightest star in the constellation Leo and one of the brightest stars in the night sky, lying approximately 79 light years from Earth. Regulus is a multiple star system composed of four stars that are organized into two pairs. The spectroscopic binary Regulus A consists of a blue-white main-sequence star and its companion, which has not yet been directly observed, but is probably a white dwarf. Located farther away is the pair Regulus B and Regulus C and D, which are dim main-sequence stars."
Algieba,Algieba,"Gamma Leonis (γ Leo, γ Leonis) is a binary star system in the constellation Leo. It has the traditional name Algieba or Al Gieba."
Merak,Merak,"Beta Ursae Majoris (Beta UMa, β Ursae Majoris, β UMa) is a star in the northern circumpolar constellation of Ursa Major. It has the traditional name Merak.
The apparent visual magnitude of this star is +2.37, which means it is readily visible to the naked eye. It is more familiar to northern hemisphere observers as one of the ""pointer stars"" in the Big Dipper, or ""The Plough"" in England, which is a prominent asterism of seven stars that forms part of the larger constellation. Extending an imaginary straight line from this star through the nearby Alpha Ursae Majoris (Dubhe) extends to Polaris, the north star."
Dubhe,Dubhe,"Alpha Ursae Majoris (Alpha UMa, α Ursae Majoris, α UMa) is the second-brightest star in the constellation of Ursa Major (despite its Bayer designation of ""alpha""). It has the traditional name Dubhe, and a rarer name Ak."
Zosma,Zosma,"Delta Leonis (δ Leo, δ Leonis) is a star in the zodiac constellation of Leo. It has the traditional names Zosma (or Zozma) and Duhr. Rare spellings include Zozca, Zosca, Zubra, and Dhur. The name Zosma means girdle in ancient Greek, referring to the star's location in its constellation, on the hip of the lion. Based upon parallax measurements, it lies at a distance of about 58.4 light-years (17.9 parsecs) from the Earth."
Denebola,Denebola,"Denebola (β Leo, β Leonis, Beta Leonis) is the third brightest star in the zodiac constellation of Leo. It is an A-type main sequence star with 75% more mass than the Sun and fifteen times the Sun's luminosity. Based on parallax measurements from the Hipparcos astrometry satellite, the star is at a distance of about 36 light-years (11 parsecs) from Earth. Its apparent visual magnitude is 2.14, making it readily visible to the naked eye. Denebola is a suspected Delta Scuti type variable star, meaning its luminosity varies very slightly over a period of a few hours."
Phad,Phad,"Gamma Ursae Majoris (Gamma UMa, γ Ursae Majoris, γ UMa) is a star in the constellation Ursa Major. It has the traditional name Phad, or Phecda. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. Based upon parallax measurements with the Hipparcos astrometry satellite, it is located at distance of around 83.2 light-years (25.5 parsecs).
It is more familiar to most observers in the northern hemisphere as the lower-left star forming the bowl of the Big Dipper, together with Dubhe (upper-right), Merak (lower-right) and Megrez (upper-left). Along with four other stars in this well-known asterism, Phecda forms an actual loose, association of stars known as the Ursa Major moving group. Like the other stars in the group, it is a main sequence star not unlike our Sun, although somewhat hotter, brighter and larger.
Gamma Ursae Majoris is an Ae star, which is surrounded by an envelope of gas that is adding emission lines to the spectrum of the star; hence the 'e' suffix in the stellar classification of A0 Ve. It has 2.6 times the mass of the Sun, three times the Sun's radius, and an effective temperature of 9,355 K in its outer atmosphere. This star is rotating rapidly, with a projected rotational velocity of 178 km s−1. The estimated angular diameter of this star is about 0.92 mas. It has an estimated age of 300 million years.
Phecda is located in relatively close physical proximity to the prominent Mizar-Alcor star system. The two are separated by an estimated distance of 8.55 ly (2.62 pc); much closer than the two are from the Sun. The star Beta Ursae Majoris is separated from Gamma UMa by 11.0 ly (3.4 pc)."
Megrez,Megrez,"Delta Ursae Majoris (Delta UMa, δ Ursae Majoris, δ UMa) is the Bayer designation for a star in the northern circumpolar constellation of Ursa Major. It has the traditional names Megrez /ˈmɛɡrɛz/, and Kaffa. Megrez has an apparent magnitude of +3.3, making it the dimmest of the seven stars in the Big Dipper asterism. Parallax measurements yield a distance estimate of 58.4 light-years (17.9 parsecs) from Earth.
Megrez has 63% more mass of the Sun and is about 1.4 times the Sun's radius. It has a stellar classification of A3 V, which means it is an A-type main sequence star that is generating energy at its core through the nuclear fusion of hydrogen. It shines at 14 times the luminosity of the Sun, with this energy being emitted from its outer envelope at an effective temperature of 9,480 K. This gives it the white hue typical of an A-type star.
This star has an excess emission of infrared radiation, indicating the presence of circumstellar matter. This forms a debris disk around an orbital radius of 16 Astronomical Units from the star. This radius is unusually small for the estimated age of the disk, which may be explained by drag from the Poynting–Robertson effect causing the dust to spiral inward.
It has two faint companions, a 10th magnitude star and an 11th magnitude star, both at an angular separation of two arcminutes from the primary.
Megrez is a marginally outlying member of the Ursa Major moving group, an association of stars that share a common motion through space and likely formed in the same molecular cloud. The space velocity components of Delta Ursae Majoris in the galactic coordinate system are [U, V, W] = [+15.35, +1.17, –11.52] km s−1."
Gienah Ghurab,Gienah Ghurab,"Gamma Corvi (γ Crv, γ Corvi) is the brightest star in the southern constellation of Corvus, having an apparent visual magnitude of 2.6. Its traditional name is Gienah, which it shares with Epsilon Cygni. The name ""Gienah Corvi"", or ""Gienah Ghurab"", may be used to distinguish it from this star in Cygnus. The distance to this star has been measured directly using the parallax technique, yielding an estimated 154 light-years (47 parsecs) from Earth."
Acrux,Acrux,"Alpha Crucis (α Cru, α Crucis, also Acrux, HD 108248) is the brightest star in the constellation Crux, the Southern Cross, and, at a combined visual magnitude 0.77, is the 13th brightest star in the night sky. Acrux is the southernmost first-magnitude star, just a little more southerly than Alpha Centauri."
Gacrux,Gacrux,"Gamma Crucis (γ Cru, γ Crucis), often called Gacrux, is the nearest red giant star to the Sun. The distance to Gacrux has been determined using parallax measurements made during the Hipparcos mission, which yielded a value of 88.6 light-years (27.2 parsecs) away from Earth. With an apparent visual magnitude of +1.63, this is the third-brightest star in the southern circumpolar constellation of Crux, the Southern Cross, and one of the brightest stars in the night sky. Among Portuguese-speaking peoples it is also named ""Rubídea"" (or Ruby-like), in reference to its color. A line from the two ""Pointers"", Alpha Centauri through Beta Centauri, leads to within a few degrees of this star."
Becrux,Becrux,"Beta Crucis, also known as Mimosa or Becrux, is the second brightest star in the constellation Crux (after Alpha Crucis or Acrux) and is the 19th brightest star in the night sky. It forms part of the prominent asterism called the Southern Cross, which appears on five national flags. Although Beta Crucis, ""Becrux"", is at roughly −60° declination, and therefore not visible north of 30°, in the time of the ancient Greeks and Romans it was visible north of 40° due to the precession of equinoxes, and these civilizations regarded it as part of the constellation Centaurus. Its modern name, Mimosa, which is derived from the Latin word for ""actor"", may come from the flower of the same name."
Alioth,Alioth,"Epsilon Ursae Majoris (Epsilon UMa, ε Ursae Majoris, ε UMa) is the brightest star in the constellation Ursa Major (despite its Bayer designation being merely ""epsilon""), and at magnitude 1.76 is the thirty-first brightest star in the sky. It has the traditional name Alioth. It is the star in the tail of the bear closest to its body, and thus the star in the handle of the Big Dipper (Plough) closest to the bowl. It is also a member of the large and diffuse Ursa Major moving group. Historically, the star was frequently used in celestial navigation in the maritime trade, because it is listed as one of the 57 navigational stars."
Cor Caroli,Caroli,"USS Cor Caroli (AK-91) was an Crater-class cargo ship commissioned by the U.S. Navy for service in World War II, named after Cor Caroli, the brightest star in constellation Canes Venatici. She was responsible for delivering goods and equipment to locations in the war zone.
Cor Caroli (AK-91) was launched 19 March 1943 as SS Betsy Ross by Permanente Metals Corp., Yard No. 2, Richmond, California, under a Maritime Commission contract; sponsored by Mrs. F. Modglin; acquired by the Navy 31 March 1943; commissioned 16 April 1943, Lieutenant Commander J. A. Lewis, USCGR, in command; and reported to the Pacific Fleet."
Vindemiatrix,Vindemiatrix,"Epsilon Virginis (ε Vir, ε Virginis) is the Bayer designation for a star in the zodiac constellation of Virgo. It has the traditional name Vindemiatrix, which comes from Greek through Latin and means Grape Gatherer. The apparent visual magnitude of this star is +2.8, making it the third brightest member of Virgo. Based upon parallax measurements made during the Hipparcos mission, Vindemiatrix lies at a distance of about 109.6 light-years (33.6 parsecs) from Earth, give or take a half light year.
Vindemiatrix is a giant star with a stellar classification of G8 III. With 2.6 times the mass of the Sun, it has reached a stage in its evolution where the hydrogen fuel in its core is exhausted. As a result, it has expanded to over ten times the Sun's girth and is now radiating around 77 times as much luminosity as the Sun. This energy is being emitted from its outer atmosphere at an effective temperature of 5,086 K, which gives it the yellow-hued glow of a G-type star. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified.
This star is a likely member of the thin disk population and the orbit departs by no more than 60 pc (200 ly) from the galactic plane."
Mizar,Mizar,"Mizar and Alcor form a naked eye double star in the handle of the Big Dipper asterism in the constellation Ursa Major. Mizar is itself a quadruple system and Alcor is a binary, the pair together forming a sextuple system."
Spica,Spica,"Spica (/ˈspaɪkə/; α Vir, α Virginis, Alpha Virginis) is the brightest star in the constellation Virgo, and the 15th brightest star in the night sky. Located 250 ± 10 light years from Earth, it is actually a spectroscopic binary and rotating ellipsoidal variable—a system whose two main stars are so close together they are egg-shaped rather than spherical, and can only be separated by their spectrum. The primary is a blue giant and a variable star of the Beta Cephei type."
Alkaid,Alkaid,"Eta Ursae Majoris (Eta UMa, η Ursae Majoris, η UMa) is a star in the constellation Ursa Major. It has the traditional names Alkaid (or Elkeid from the Arabic القايد القائد), and Benetnash (Benetnasch). Alkaid is the most eastern (leftmost) star in the Big Dipper (Plough) asterism. However, unlike most stars of the Big Dipper, it is not a member of the Ursa Major moving group. With an apparent visual magnitude of +1.84, it is the third brightest star in the constellation and one of the brightest stars in the night sky.
This is a 10-million-year-old B-type main sequence star with a stellar classification of B3 V. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. It has six times the mass of the Sun and 3.4 times the Sun's radius. Eta Ursae Majoris is radiating around 1,350 times as much luminosity as the Sun from its outer atmosphere at an effective temperature of about 16,823 K, giving it the blue-white hue of a B-type star. This star is an X-ray emitter with a luminosity of 9.3 × 1028 erg s−1."
Mufrid,Mufrid,"Eta Boötis (η Boo, η Boötis) is a star in the constellation Boötes. It has the traditional names Muphrid and Saak, and the Flamsteed designation 8 Boötis. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified.
The name Muphrid is from the Arabic مفرد الرامح mufrid ar-rāmiħ ""the (single) one of the lancer"". In Chinese, 右攝提 (Yòu Niè Dī), meaning ""the Right Conductor"", refers to an asterism consisting of Eta Boötis, Tau Boötis and Upsilon Boötis. Consequently, Eta Boötis itself is known as 右攝提一 (Yòu Niè Dī yī, English: ""the First Star of the Right Conductor""). In the catalogue of stars in the Calendarium of Al Achsasi al Mouakket, this star was designated Ramih al Ramih (رمح الرامح—rumḥ al rāmiḥ), which was translated into Latin as Lancea Lanceator, possibly meaning the lance of the lancer.
This star is a subgiant that has begun the process of evolving from a main sequence star into a red giant. It has about 1.7 times the mass of the Sun and 2.7 times the Sun's radius. The estimated age of this star is about 2.7 billion years. Based on its spectra, Eta Boötis has a significant excess of elements heavier than helium. In fact the ratio of iron to hydrogen is considered close to the upper limit for dwarf stars in the galactic disk. The star is a suspected spectroscopic binary with a reported period of 494 days, but the companion was not confirmed through speckle interferometry. This measurement does not rule out a low mass stellar companion of spectral class M7.
Eta Boötis appears close to the prominent star Arcturus (Alpha Bootis) in Earth's sky, and Arcturus is in fact its closest stellar neighbor, as both stars are nearly identical in distance from the Sun. The two stars are about 3.24 light years apart, and each would appear bright in the other's sky. Arcturus would appear as roughly magnitude -5.2 (about 120 times brighter than it appears from Earth, or close to twice the brightness of Venus) in the night sky of a hypothetical planet orbiting Eta Boötis, while Eta Boötis would appear at about magnitude −2.4 (absolute magnitude −2.41 at 0.99 parsec)) in the sky of a hypothetical planet orbiting Arcturus, or over twice the brightness of Sirius in our night sky."
Thuban,Thuban,"Thuban (Arabic: ثعبان‎, thuʿbān, ""snake""), also known by its Bayer designation Alpha Draconis (α Draconis, α Dra), is a star (or star system) in the constellation of Draco. A relatively inconspicuous star in the night sky of the Northern Hemisphere, it is historically significant as having been the north pole star from the 4th to 2nd millennium BC. It is sometimes known as the Dragon's Tail and as Adib.
Even though Johann Bayer gave Thuban the designation Alpha, its apparent magnitude of 3.65 is 3.7 times fainter than the brightest star in the constellation, Gamma Draconis (Eltanin), whose apparent magnitude is 2.24."
Menkent,Menkent,"Theta Centauri (θ Cen, θ Centauri) is a star in the southern constellation of Centaurus, the centaur. It has the traditional Arabic name Menkent (possibly abbreviation of ألمنكب ألقنتوس - al mankib al-qanturis, meaning ""shoulder of the Centaur""). This star has an apparent visual magnitude of +2.06, making it the fourth brightest member of the constellation. This star is close enough to the Earth that its distance can be measured using the parallax technique, yielding a value of 58.8 light-years (18.0 parsecs).
In Chinese, 庫樓 (Kù Lóu), meaning Arsenal, refers to an asterism consisting of θ Centauri, ζ Centauri, η Centauri, 2 Centauri, HD 117440, ξ1 Centauri, γ Centauri, τ Centauri, D Centauri and σ Centauri. Consequently, θ Centauri itself is known as 庫樓三 (Kù Lóu sān, English: the Third Star of Arsenal.)
This is an evolved giant star with a stellar classification of K0 III. The interferometry-measured angular diameter of this star, after correcting for limb darkening, is 5.46 ± 0.06 mas, which, at its estimated distance, equates to a physical radius of about 10.6 times the radius of the Sun. The outer envelope has an effective temperature of 4,980 K, giving it the orange-hued glow of a cool, K-type star. Soft X-ray emission has been detected from this star, which has an estimated X-ray luminosity of 1.4 × 1027 erg s−1."
Arcturus,Arcturus,"Arcturus (/ɑːrkˈtjʊərəs/; α Boo, α Boötis, Alpha Boötis) of the constellation Boötes is the brightest star in the northern celestial hemisphere. With a visual magnitude of −0.05, it is the fourth brightest star in the night sky, after −1.46 magnitude Sirius, −0.86 magnitude Canopus, and −0.27 magnitude Alpha Centauri. It is a relatively close star at only 36.7 light-years from Earth, and, together with Vega and Sirius, one of the most luminous stars in the Sun's neighborhood.
Arcturus is a type K0 III orange giant star, with an absolute magnitude of −0.30. It has likely exhausted its hydrogen from its core and is now in its active hydrogen shell burning phase. It will continue to expand before entering horizontal branch stage of its life cycle."
Rigil Kentaurus,Rigil Kentaurus,"Alpha Centauri (α Cen), also known as Rigil Kent (/ˈraɪdʒəl ˈkɛnt/) (the ""Centaur's Foot"") or Toliman, is the closest star system to the Solar System at 4.37 ly (1.34 pc). It consists of three stars: the pair Alpha Centauri A and Alpha Centauri B and a small and faint red dwarf, Alpha Centauri C, better known as Proxima Centauri, that may be gravitationally bound to the other two. (Beta Centauri, or β Centauri, should not be confused with Alpha Centauri B, and is a separate, trinary, system of its own.)  To the unaided eye, the two main components appear as a single object of an apparent visual magnitude of −0.27, forming the brightest star in the southern constellation Centaurus and the third-brightest star in the night sky, only outshone by Sirius and Canopus.
Alpha Centauri A (α Cen A) has 110% of the mass and 151.9% the luminosity of the Sun, and Alpha Centauri B (α Cen B) is smaller and cooler, at 90.7% of the Sun's mass and 44.5% of its visual luminosity. During the pair's 79.91-year orbit about a common center, the distance between them varies from about that between Pluto and the Sun to that between Saturn and the Sun. Proxima is at the slightly smaller distance of 1.29 parsecs or 4.24 light years from the Sun, making it the closest star to the Sun, even though it is not visible to the naked eye. The separation of Proxima from Alpha Centauri AB is about 0.06 parsecs, 0.2 light years or 15,000 astronomical units (AU), equivalent to 500 times the size of Neptune's orbit."
Izar,Izar,"Epsilon Boötis (ε Boo, ε Boötis) is a double star in the northern constellation of Boötes. It has the traditional name Izar and was named Pulcherrima (most beautiful) by Otto Struve. The star system can be viewed with the unaided eye at night, but resolving the pair with a small telescope is challenging; an aperture of 76 mm (3.0 in) or greater is required."
Kochab,Kochab,"Beta Ursae Minoris (β UMi, β Ursae Minoris) is the brightest star in the bowl of the ""Little Dipper"" (which is part of the constellation Ursa Minor), and only slightly fainter than Polaris, the northern pole star and brightest star in Ursa Minor. It has the traditional name Kochab. Kochab is 16 degrees from Polaris and has an apparent visual magnitude of 2.08. The distance to this star can be deduced from the parallax measurements made during the Hipparcos, yielding a value of 130.9 light-years (40.1 parsecs).
Kochab and its neighbor Pherkad served as twin pole stars, circling the North Pole, from 1500 BC until 500 AD. Ancient Egyptian astronomers referred to them as ""The Indestructibles"". Neither star was as proximitous to the celestial north pole as Polaris is now. Today, they are sometimes referred to as the ""Guardians of the Pole."" Due to precession of the equinoxes, the previous holder of the title was Thuban, and the next was the present-day Polaris. This succession of pole stars is a result of Earth's precessional motion.
Amateur astronomers can use Kochab as a very precise guide for setting up a telescope, as the celestial north pole is located 43 arcminutes away from Polaris, very close to the line connecting Polaris with Kochab."
Zubenelgenubi,Zubenelgenubi,"Alpha Librae (α Lib, α Librae), or Zubenelgenubi, is the second brightest star in the constellation Libra (despite its Bayer designation as alpha). Alpha2 Librae is 0.33 degree from the ecliptic so it can be easily occulted by the Moon and (very rarely) by planets. The next occultation by a planet will be by Mercury on 10 November 2052."
Zubeneschemali,Zubeneschemali,"Beta Librae (β Lib, β Librae), or Zubeneschamali, is the brightest star in the zodiac constellation of Libra. The apparent visual magnitude of this star is 2.6. From parallax measurements, its distance can be estimated as 185 light-years (57 parsecs) from Earth."
Alphekka,Alphekka,"Alpha Coronae Borealis (α CrB, α Coronae Borealis, Alphecca) is a binary star in the constellation Corona Borealis. It is located about 75 light years from our Solar System."
Unukalhai,Unukalhai,"Alpha Serpentis (α Serpentis, α Ser) is a double star in the head (Serpens Caput) of the equatorial constellation Serpens. It has the traditional name Unukalhai. With an apparent visual magnitude of 2.6, this star is the brightest in the constellation and it can be viewed with the naked eye from most of the Earth. Parallax measurements yield an estimated distance of about 74 light-years (23 parsecs) from Earth."
Dschubba,Dschubba,"Delta Scorpii (δ Sco, δ Scorpii) is a star in the constellation Scorpius. It has the traditional name Dschubba.
Because it is near the ecliptic δ Scorpii is occasionally occulted by the Moon, or (extremely rarely) by planets. It was once used as a spectroscopic standard for the B0 IV classification, but is now considered too unusual and variable.
Delta Scorpii is a proper motion member of the Upper Scorpius subgroup of the Scorpius–Centaurus OB association, the nearest such co-moving association of massive stars to the Sun. The Upper Scorpius subgroup contains thousands of young stars with mean age 11 million years at average distance of 470 light years (145 parsecs)."
Graffias,Graffias,"USS Graffias (AF-29), a Hyades-class stores ship, is the only ship of the United States Navy to have this name. The name Graffias is another name for the star Beta Scorpii in the constellation Scorpius.
The Graffias was originally laid down in 1943 as Topa Topa, a Maritime Commission type (C2-S-E1) hull under Maritime Commission contract (MC hull 1610) at the Gulf Shipbuilding Company, Chickasaw, Alabama. The ship was acquired by the United States Navy on 19 February 1944 and subsequently converted by the Bethlehem Steel Company, Baltimore, Maryland. The Graffias was commissioned at Baltimore on 28 October 1944, with Lieutenant Commander B. P. Caraher in command."
Antares,Antares,"Antares (/ænˈtɑːriːz/), also known by its Bayer designation Alpha Scorpii (abbreviated to α Scorpii or α Sco), is the fifteenth brightest star in the night sky and the brightest star in the constellation Scorpius, and is often referred to as ""the heart of the scorpion"". Along with Aldebaran, Regulus, and Fomalhaut, Antares comprises the group known as the 'Royal stars of Persia'. It is one of the four brightest stars near the ecliptic.
Distinctly reddish when viewed with the unaided eye, Antares is a red supergiant of spectral type M0.5Iab and is one of the largest and most luminous observable stars. It is a slow irregular variable star with the quoted magnitude of +0.96. Antares is the brightest, most massive, and most evolved stellar member of the nearest OB association (the Scorpius-Centaurus Association). Antares is a member of the Upper Scorpius subgroup of the Scorpius-Centaurus Association, which contains thousands of stars with mean age 11 million years at a distance of approximately 145 parsecs (470 light years)."
Rasalgethi,Rasalgethi,"Alpha Herculis (α Her, α Herculis) is a multiple star system in the constellation Hercules. It has the traditional name Rasalgethi or Ras Algethi (Arabic: رأس الجاثي ra's al-jaθiyy‎ Head of the Kneeler), and the Flamsteed designation 64 Herculis. The traditional name ""Head"" comes from the fact that in antiquity Hercules was depicted upside down on the constellation maps.
The term ra's al-jaθiyy or Ras al Djathi was appeared in the catalogue of stars in the Calendarium of Al Achsasi al Mouakket, which was translated into Latin as Caput Ingeniculi.
In Chinese astronomy, Rasalgethi is called 帝座, Pinyin: Dìzuò, meaning Emperor's Seat, this star is marking itself and stands alone in the center of Emperor's Seat asterism, Heavenly Market enclosure (see : Chinese constellations). 帝座 (Dìzuò) was westernized into Ti Tso by R.H. Allen, with the same meaning"
